Q_category,topic_G_factoid,query,gold_response
G_factoid,Southern_California,The Los Angeles Angels of Anaheim are from which sport?,MLB
G_factoid,Scottish_Parliament,What percentage of the vote for a Scottish Assembly in favor of it?,51.6%
G_factoid,Steam_engine,How many cylinders does the Energiprojekt AB engine have?,5
G_factoid,University_of_Chicago,The university was a founding force behind what conference?,the Big Ten Conference
G_factoid,Ctenophora,Do adults or juveniles secretions luminesce brighter?,Juveniles will luminesce more brightly
G_factoid,Islamism,What do progressive moderates of Islam seek to separate?,religion from politics
G_factoid,French_and_Indian_War,"During withdrawal from Fort William Henry, what did some Indian allies of French do?","attacked the British column, killing and capturing several hundred men, women, children, and slaves."
G_factoid,"Fresno,_California",Which city is the fifth-largest city in California?,Fresno
G_factoid,Private_school,In what century did missionaries notably establish church schools in South Africa?,nineteenth
G_factoid,Force,"If you do not know both magnitude and direction of two forces on an object, what would you call that situation?",ambiguous
G_factoid,Computational_complexity_theory,What expression is generally used to convey upper or lower bounds?,big O notation
G_factoid,Normans,In what century did important classical music developments occur in Normandy?,11th
G_factoid,Oxygen,What style of sensing do scientist like to use to measure global radiance?,remote sensing
G_factoid,Pharmacy,What type of professional is a Pharmacy Technician considered to be?,health care professional
G_factoid,Southern_California,What is the population of the second largest city in California?,1.3 million
G_factoid,Scottish_Parliament,What is also decided by the Presiding Officer?,amount of time for which they are allowed to speak
G_factoid,Steam_engine,In what year did Savery patent his steam pump?,1698
G_factoid,University_of_Chicago,Roughly how much is the Student Government's budget?,greater than $2 million
G_factoid,Ctenophora,The long tentacles on the pleurbrachia are protected by what?,a sheath
G_factoid,Islamism,Who masterminded many terror attacks?,Osama bin Laden
G_factoid,French_and_Indian_War,What victory at thwarted efforts of French relief ships.,naval Battle of the Restigouche
G_factoid,"Fresno,_California",What months out of the year is Woodward Park open?,April through October
G_factoid,Private_school,In what year did Massachusetts first require children to be educated in schools?,1852
G_factoid,Force,How many interactions are all of the universal forces based on?,four
G_factoid,Computational_complexity_theory,Bounding of time and space or similar measurements is often used by algorithms to define what?,complexity classes
G_factoid,Normans,What major conquest did Tancred play a roll in?,Jerusalem
G_factoid,Oxygen,What chemist showed that fire needed only a part of air?,John Mayow
G_factoid,Pharmacy,What symbol was employed until early in the 20th century?,The show globe
G_factoid,Southern_California,In which year did the newspaper define southern California?,1900
G_factoid,Scottish_Parliament,What type of committee is set down under the SP's standing orders?,Mandatory